xP, yP, zP, xR, yR, zR
0,0.6,0,0,0,0
0,0.596076,0,0,0,0
0,0.588228,0,0,0,0
0,0.5764561,0,0,0,0
0,0.5607601,0,0,0,0
0,0.5411401,0,0,0,0
0,0.5175961,0,0,0,0
0,0.5035192,0,0,0,0
0,0.5007039,0,0,0,0
0,0.5001408,0,0,0,0
0,0.5000281,0,0,0,0
0,0.5000056,0,0,0,0
0,0.5000011,0,0,0,0
0,0.5000002,0,0,0,0
0,0.5000001,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
-0.0001172498,0.5,0.007291195,0,0.003891138,0
-2.973201E-05,0.5,0.02187383,0,0.007778689,0
9.723989E-05,0.5,0.04374746,0,0.01166418,0
2.479261E-05,0.5,0.0729125,0,0.007766472,0
-8.650428E-05,0.5,0.1093686,0,0.003880705,0
7.634226E-07,0.5,0.153116,0,0.00777789,0
0.0001284281,0.5,0.2041546,0,0.01166358,0
6.009531E-05,0.5,0.2624844,0,0.00776651,0
-4.708706E-05,0.5,0.3281054,0,0.003880742,0
4.277196E-05,0.5,0.4010176,0,0.00777764,0
0.0001732434,0.5,0.481221,0,0.0116668,0
0.000108861,0.5,0.5687156,0,0.007769938,0
5.639216E-06,0.5,0.6635014,0,0.00388417,0
9.877529E-05,0.5,0.7655784,0,0.007780941,0
0.0002326,0.5,0.8749466,0,0.01167012,0
0.000172146,0.5,0.9916061,0,0.007773364,0
7.285968E-05,0.5,1.115557,0,0.003887596,0
0.0001695421,0.5,1.246799,0,0.007784293,0
7.244913E-05,0.5,1.385332,0,0.003887767,0
0.0001714967,0.5,1.531156,0,0.007784456,0
0.0003112633,0.5,1.684271,0,0.01167364,0
0.0002577131,0.5,1.844678,0,0.01555958,0
0.0004005894,0.5,2.012375,0,0.0194489,0
0.0005858127,0.5,2.187364,0,0.02333808,0
0.0008131673,0.4999999,2.369644,0,0.02723051,0
0.001082522,0.4999999,2.559216,0,0.03112295,0
0.001393815,0.4999999,2.756078,0,0.03502209,0
0.001513053,0.4999999,2.960232,0,0.03889119,0
0.001595826,0.4999999,3.171677,0,0.04275669,0
0.001643864,0.4999999,3.390413,0,0.04661849,0
0.001658801,0.4999998,3.61644,0,0.05047318,0
0.001642177,0.4999998,3.849759,0,0.05432778,0
0.00168096,0.5,4.090368,0,0.05719906,0
0.001717356,0.5,4.338269,0,0.05939092,0
0.001727822,0.4999999,4.593462,0,0.06180347,0
0.001683144,0.4999999,4.855945,0,0.06561232,0
0.001645022,0.4999999,5.125719,0,0.06310035,0
0.001629057,0.4999999,5.402785,0,0.06209334,0
0.001730585,0.4999999,5.687142,0,0.06436307,0
0.001912342,0.4999999,5.97879,0,0.06047976,0
0.002145372,0.5,6.277729,0,0.06438377,0
0.002429161,0.4999999,6.58396,0,0.06828373,0
0.002759899,0.4999999,6.891251,0,0.07218887,0
0.003135923,0.4999999,7.198542,0,0.07610238,0
0.003556269,0.4999998,7.505833,0,0.08002275,0
0.004020024,0.5,7.813123,0,0.08391239,0
0.004526298,0.5,8.120414,0,0.08780865,0
0.005074295,0.4999999,8.427705,0,0.09171165,0
0.005663202,0.4999999,8.734995,0,0.09562497,0
0.006292235,0.5,9.042285,0,0.0995075,0
0.006960635,0.4999999,9.349575,0,0.1034,0
0.007667721,0.4999999,9.656865,0,0.1073029,0
0.00841279,0.4999999,9.964155,0,0.1111955,0
0.009195169,0.5,10.27145,0,0.1150777,0
0.01001421,0.4999999,10.57874,0,0.1189924,0
0.01086933,0.4999999,10.88603,0,0.1228986,0
0.01175992,0.4999999,11.19332,0,0.1267979,0
0.01268544,0.5,11.50061,0,0.1306867,0
0.01364533,0.5,11.80789,0,0.1345722,0
0.01463908,0.5000001,12.11518,0,0.1384473,0
0.01566619,0.4999999,12.42247,0,0.1423566,0
0.0167262,0.4999999,12.72976,0,0.1462609,0
0.01781858,0.4999999,13.03705,0,0.1501599,0
0.01894292,0.4999999,13.34434,0,0.1540554,0
0.02009879,0.5,13.65163,0,0.1579441,0
0.02128577,0.5,13.95892,0,0.1618258,0
0.02250349,0.5,14.26621,0,0.1657076,0
0.02375155,0.5000001,14.5735,0,0.1695824,0
0.02502959,0.4999999,14.88078,0,0.173495,0
0.0263372,0.4999999,15.18807,0,0.1774062,0
0.02767412,0.4999999,15.49536,0,0.1813135,0
0.02903998,0.4999999,15.80265,0,0.1852157,0
0.03043444,0.4999999,16.10994,0,0.1891197,0
0.03185729,0.4999999,16.41722,0,0.1930202,0
0.03330817,0.4999999,16.72451,0,0.1969189,0
0.03478681,0.4999999,17.0318,0,0.2008193,0
0.03629296,0.4999999,17.33909,0,0.2047197,0
0.03782637,0.4999999,17.64637,0,0.2086217,0
0.03938681,0.4999999,17.95366,0,0.2125203,0
0.04097404,0.4999999,18.26095,0,0.2164206,0
0.04258781,0.4999999,18.56824,0,0.2203225,0
0.04422791,0.4999999,18.87552,0,0.2242279,0
0.04589413,0.4999999,19.18281,0,0.2281334,0
0.04735227,0.4999999,19.4901,0,0.2319962,0
0.04875896,0.4999998,19.79738,0,0.235857,0
0.05011705,0.4999998,20.10467,0,0.2397125,0
0.0514292,0.4999998,20.41196,0,0.2435644,0
0.05269798,0.5,20.71925,0,0.247454,0
0.05387413,0.5,21.01454,0,0.2513365,0
0.05499021,0.4999999,21.30512,0,0.2552152,0
0.05628135,0.4999999,21.59099,0,0.2513321,0
0.05759233,0.5,21.87215,0,0.2474564,0
0.05892275,0.5,22.14861,0,0.2435742,0
0.06009872,0.5,22.42035,0,0.2450434,0
0.06122598,0.4999999,22.68739,0,0.2468296,0
0.06230194,0.5,22.94971,0,0.2489468,0
0.06332451,0.5000001,23.20733,0,0.2513892,0
0.06444931,0.4999999,23.46024,0,0.2485312,0
0.06558099,0.4999998,23.70844,0,0.2455938,0
0.06672069,0.4999998,23.95193,0,1.242572,0
0.06786855,0.4999999,24.19072,0,2.239532,0
0.06902632,0.5,24.42479,0,3.236473,0
0.0701737,0.5,24.65416,0,4.238383,0
0.07133139,0.4999999,24.87881,0,5.240615,0
0.07250306,0.4999999,25.09876,0,6.243167,0
0.07369243,0.4999999,25.314,0,7.246038,0
0.07490349,0.4999999,25.52453,0,8.249222,0
0.07614034,0.4999999,25.73035,0,9.252725,0
0.07740614,0.4999999,25.93146,0,10.25648,0
0.07869384,0.4999999,26.12786,0,11.26018,0
0.08000218,0.4999999,26.31955,0,12.26381,0
0.08132984,0.4999999,26.50654,0,13.26737,0
0.08267508,0.5,26.68881,0,14.27084,0
0.08403611,0.4999999,26.86638,0,15.27423,0
0.08541086,0.4999999,27.03924,0,16.27753,0
0.0867971,0.4999999,27.20739,0,17.28073,0
0.08819236,0.5,27.37082,0,18.28382,0
0.0895941,0.4999999,27.52955,0,19.28679,0
0.09099945,0.4999999,27.68357,0,20.28965,0
0.09240545,0.4999999,27.83289,0,21.2924,0
0.09380899,0.5,27.97749,0,22.295,0
0.0952068,0.4999999,28.11738,0,23.29747,0
0.09659545,0.5,28.25257,0,24.2998,0
0.09797146,0.4999999,28.38305,0,25.30199,0
0.0993312,0.4999999,28.50881,0,26.30404,0
0.100671,0.4999999,28.62987,0,27.30593,0
0.101987,0.4999999,28.74622,0,28.30766,0
0.1032753,0.4999999,28.85786,0,29.30924,0
0.1045322,0.5,28.96479,0,30.31065,0
0.1057536,0.5,29.06701,0,31.3119,0
0.1069356,0.5,29.16453,0,32.31298,0
0.1080745,0.5,29.25734,0,33.3139,0
0.1091662,0.5,29.34543,0,34.31464,0
0.1102072,0.5,29.42882,0,35.31521,0
0.1111936,0.5,29.5075,0,36.31561,0
0.112122,0.4999999,29.58147,0,37.31583,0
0.1129889,0.4999999,29.65074,0,38.31588,0
0.1137912,0.5,29.71529,0,39.31575,0
0.1145257,0.5,29.77514,0,40.31543,0
0.11519,0.5,29.83028,0,41.31495,0
0.123035,0.4999999,29.8899,0,42.31549,0
0.1377857,0.4999999,29.95393,0,43.31679,0
0.15925,0.4999999,30.02233,0,44.31864,0
0.1872993,0.4999999,30.09504,0,45.3209,0
0.221852,0.5,30.17201,0,46.32345,0
0.2628621,0.5,30.2532,0,47.32621,0
0.3103102,0.4999999,30.33853,0,48.32912,0
0.3641968,0.4999999,30.42793,0,49.33215,0
0.4245374,0.4999999,30.52132,0,50.33527,0
0.491359,0.4999999,30.61861,0,51.33844,0
0.5646973,0.4999999,30.71972,0,52.34167,0
0.6445944,0.4999998,30.82455,0,53.34494,0
0.7310972,0.4999999,30.93299,0,54.34822,0
0.8242563,0.4999999,31.04494,0,55.35154,0
0.9241245,0.4999999,31.16028,0,56.35485,0
1.030756,0.5,31.27891,0,57.35819,0
1.144207,0.5,31.40071,0,58.36152,0
1.264533,0.5,31.52554,0,59.36485,0
1.391789,0.5,31.6533,0,60.36817,0
1.526032,0.4999999,31.78385,0,61.37148,0
1.667315,0.4999999,31.91706,0,62.37478,0
1.815577,0.4999999,32.05293,0,63.37098,0
1.970952,0.4999999,32.19124,0,64.36651,0
2.133482,0.5,32.33186,0,65.36044,0
2.303205,0.4999999,32.47466,0,66.35174,0
2.480149,0.4999999,32.61954,0,67.33985,0
2.664502,0.5,32.76618,0,68.33672,0
2.856236,0.4999999,32.91452,0,69.33353,0
3.055389,0.4999999,33.06441,0,70.33039,0
3.261986,0.4999999,33.21574,0,71.33272,0
3.476051,0.5,33.36836,0,72.33422,0
3.697657,0.5,33.52209,0,73.33729,0
3.926819,0.5000009,33.67678,0,74.34032,0
4.154435,0.5089042,33.82609,0,75.35025,0
4.363925,0.530045,33.96458,0,76.36736,0
4.560486,0.5541641,34.10269,0,77.8287,0
4.760649,0.5712441,34.2431,0,79.03496,0
4.957004,0.5863954,34.3839,0,80.31019,0
5.147818,0.600811,34.5246,0,81.49438,0
5.334128,0.6147509,34.66333,0,82.67432,0
5.5205,0.6247954,34.80193,0,83.86053,0
5.706872,0.6309158,34.94053,0,85.04656,0
5.893243,0.6331123,35.07913,0,86.2324,0
6.079615,0.6313847,35.21773,0,87.41805,0
6.265987,0.6257332,35.35633,0,88.60351,0
6.464348,0.6161577,35.49543,0,89.7888,0
6.668372,0.6086943,35.63062,0,90.79358,0
6.876875,0.6045259,35.76116,0,91.79755,0
7.077916,0.6035846,35.88707,0,92.79985,0
7.271294,0.6058704,36.00829,0,93.8009,0
7.464653,0.6042323,36.12954,0,94.80121,0
7.655798,0.6008473,36.2494,0,95.80055,0
7.840172,0.6001703,36.36509,0,96.79424,0
8.031796,0.6000348,36.47696,0,97.78143,0
8.230911,0.6000078,36.58543,0,98.74977,0
8.437266,0.6000023,36.691,0,99.66318,0
8.650636,0.6000012,36.794,0,100.5713,0
8.875868,0.5960761,36.89494,0,101.4834,0
9.1129,0.5882269,36.9937,0,102.3956,0
9.349932,0.5764538,37.09246,0,103.308,0
9.586964,0.5607567,37.19122,0,104.2204,0
9.823996,0.5411355,37.28998,0,105.1328,0
10.06103,0.5175904,37.38874,0,106.0454,0
10.29806,0.4901213,37.4875,0,106.9581,0
10.50039,0.4900241,37.5719,0,107.9553,0
10.70971,0.4900046,37.65107,0,108.955,0
10.92599,0.4900009,37.72502,0,109.9548,0
11.14911,0.4900001,37.79367,0,110.9548,0
11.36772,0.49,37.86095,0,111.9546,0
11.58183,0.49,37.92686,0,112.9542,0
11.79144,0.49,37.99139,0,113.9536,0
11.99654,0.49,38.05455,0,114.9529,0
12.19713,0.4899999,38.11635,0,115.952,0
12.39322,0.49,38.17678,0,116.9509,0
12.59555,0.49,38.23076,0,117.95,0
12.80398,0.4899999,38.27826,0,118.9493,0
13.00781,0.49,38.32473,0,119.9485,0
13.20705,0.49,38.37018,0,120.9474,0
13.40169,0.4899999,38.41461,0,121.9462,0
13.59174,0.4899999,38.45802,0,122.9449,0
13.77719,0.49,38.5004,0,123.9433,0
13.95804,0.49,38.54177,0,124.9416,0
14.13429,0.49,38.58213,0,125.9398,0
14.30595,0.49,38.62147,0,126.9378,0
14.48268,0.4899999,38.65297,0,127.936,0
14.66433,0.4899999,38.67667,0,128.9346,0
14.85076,0.4899999,38.69261,0,129.9334,0
15.03249,0.49,38.70818,0,130.932,0
15.20952,0.49,38.72337,0,131.9305,0
15.38187,0.49,38.73819,0,132.9288,0
15.54951,0.49,38.75265,0,133.9269,0
15.71247,0.49,38.76674,0,134.9249,0
15.87073,0.4899999,38.78047,0,135.9227,0
16.02429,0.49,38.79383,0,136.9204,0
16.17316,0.4899999,38.80683,0,137.918,0
16.31733,0.49,38.81947,0,138.9154,0
16.45681,0.49,38.83175,0,139.9126,0
16.59159,0.49,38.84366,0,140.9098,0
16.72168,0.4899999,38.85521,0,141.9068,0
16.84707,0.49,38.86639,0,142.9037,0
16.96777,0.49,38.87721,0,143.9005,0
17.08378,0.49,38.88767,0,144.8972,0
17.19509,0.4899999,38.89775,0,145.8938,0
17.3017,0.4899999,38.90747,0,146.8903,0
17.40362,0.4899999,38.91682,0,147.8867,0
17.50084,0.4899999,38.92579,0,148.8831,0
17.59338,0.4899999,38.93438,0,149.8794,0
17.68121,0.4899999,38.9426,0,150.8757,0
17.76436,0.4899999,38.95042,0,151.8719,0
17.84281,0.49,38.95787,0,152.868,0
17.91657,0.4899999,38.96492,0,153.8642,0
17.99111,0.4899999,38.96155,0,154.8606,0
18.06632,0.49,38.94827,0,155.8578,0
18.14212,0.49,38.9255,0,156.8558,0
18.2185,0.4899999,38.8936,0,157.8545,0
18.29544,0.49,38.85287,0,158.854,0
18.37292,0.49,38.80354,0,159.8541,0
18.45093,0.49,38.7458,0,160.8547,0
18.52945,0.49,38.6798,0,161.8557,0
18.60844,0.4899999,38.60566,0,162.8571,0
18.68787,0.4899999,38.52348,0,163.8589,0
18.76769,0.4899999,38.43333,0,164.8608,0
18.84783,0.49,38.33528,0,165.8629,0
18.92822,0.49,38.22937,0,166.8652,0
19.00877,0.49,38.11563,0,167.8676,0
19.08941,0.49,37.99411,0,168.8701,0
19.16742,0.4899999,37.8765,0,169.8725,0
19.24279,0.4899999,37.76278,0,170.8747,0
19.31554,0.4899999,37.65298,0,171.8768,0
19.38565,0.4899999,37.54708,0,172.8787,0
19.45315,0.4899999,37.44509,0,173.8805,0
19.51802,0.49,37.34701,0,174.8821,0
19.58027,0.4899999,37.25285,0,175.8836,0
19.63991,0.4899999,37.16261,0,176.8849,0
19.69694,0.4899999,37.07628,0,177.886,0
19.75137,0.4899999,36.99387,0,178.887,0
19.80318,0.4899999,36.91539,0,179.8878,0
19.8524,0.4899999,36.84083,0,180.8884,0
19.89902,0.4899999,36.7702,0,181.8888,0
19.94304,0.49,36.7035,0,182.8891,0
19.98447,0.4899999,36.64072,0,183.8892,0
20.02331,0.4899999,36.58189,0,184.8891,0
20.05956,0.49,36.52698,0,185.8889,0
20.09323,0.4899999,36.47601,0,186.8884,0
20.12431,0.4899999,36.42898,0,187.8878,0
20.15281,0.4899999,36.38589,0,188.887,0
20.17874,0.4899999,36.34673,0,189.8861,0
20.20208,0.4899999,36.31152,0,190.8849,0
20.22285,0.4899999,36.28025,0,191.8837,0
20.24104,0.4899999,36.25291,0,192.8822,0
20.25665,0.49,36.22952,0,193.8805,0
20.26792,0.49,36.19883,0,194.881,0
20.27533,0.4899999,36.16109,0,195.8829,0
20.27919,0.4899999,36.11645,0,196.8855,0
20.27966,0.4899999,36.06497,0,197.8885,0
20.2768,0.4899999,36.00673,0,198.8917,0
20.27064,0.49,35.94176,0,199.8951,0
20.26115,0.4899999,35.87011,0,200.8986,0
20.24829,0.49,35.79184,0,201.9022,0
20.23197,0.49,35.707,0,202.9058,0
20.21212,0.49,35.61564,0,203.9094,0
20.18864,0.4899999,35.51782,0,204.9131,0
20.16144,0.4899999,35.4136,0,205.9167,0
20.1304,0.4899999,35.30305,0,206.9204,0
20.09541,0.4899999,35.18623,0,207.924,0
20.05635,0.4899999,35.06322,0,208.9277,0
20.01313,0.4899999,34.93409,0,209.9314,0
19.9656,0.4899999,34.79892,0,210.935,0
19.91367,0.49,34.65779,0,211.9386,0
19.8572,0.49,34.51079,0,212.9422,0
19.79608,0.4899999,34.35799,0,213.9458,0
19.73019,0.4899999,34.19949,0,214.9494,0
19.65942,0.4899999,34.03539,0,215.953,0
19.58364,0.49,33.86577,0,216.9565,0
